13 91
操场
11~13公寓
工科楼
西工新苑
双创楼
1~3教学楼
4~6教学楼
博苑广场
西门
1~10公寓
食堂
行政楼
东门

0	1	6
0	2	13
0	3	15
0	4	22
0	5	24
0	6	37
0	7	34
0	8	39
0	9	44
0	10	24
0	11	22
0	12	16
1	2	7
1	3	15
1	4	21
1	5	20
1	6	35
1	7	31
1	8	35
1	9	40
1	10	23
1	11	10
1	12	5
2	3	6
2	4	6
2	5	4
2	6	19
2	7	23
2	8	15
2	9	36
2	10	21
2	11	16
2	12	10
3	4	3
3	5	10
3	6	24
3	7	35
3	8	27
3	9	45
3	10	41
3	11	39
3	12	34
4	5	6
4	6	15
4	7	20
4	8	13
4	9	45
4	10	43
4	11	42
4	12	40
5	6	11
5	7	15
5	8	7
5	9	34
5	10	33
5	11	39
5	12	36
6	7	6
6	8	5
6	9	20
6	10	23
6	11	30
6	12	32
7	8	21
7	9	10
7	10	26
7	11	27
7	12	29
8	9	30
8	10	33
8	11	37
8	12	40
9	10	23
9	11	25
9	12	27
10	11	5
10	12	7
11	12	5
0	0	0
1	1	0
2	2	0
3	3	0
4	4	0
5	5	0
6	6	0
7	7	0
8	8	0
9	9	0
10	10	0
11	11	0
12	12	0
